French,English
partie,part
histoire,history
seulement,only
police,police
pensais,thought
aide,help
demande,request
mois,month
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
revoir,meet again
place,square
parle,speak
savais,knew
voici,here is
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
espère,hope
eau,water
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
